Nombre,Apellido,Email,Teléfono,Ubicación,Experiencia,Educacion,Tecnologías,Habilidades,Apto
Luis,Sánchez,luis.sánchez87@gmail.com,1114793830,Buenos Aires,11,Postgrado,SQL,Empatía,Apto
Luis,Escobar,luis.escobar93@gmail.com,1120008750,San Juan,11,Universitario,Java,Trabajo en equipo,Apto
Gerardo,Rodríguez,gerardo.rodríguez47@gmail.com,1123591540,Buenos Aires,4,Universitario,Python,Comunicación efectiva,No Apto
Ignacio,Acosta,ignacio.acosta2@gmail.com,1188306635,Tucumán,11,Universitario,C++,Liderazgo,Apto
Ignacio,Acosta,ignacio.acosta30@gmail.com,1150633508,Río Negro,0,Universitario,Python,Resolución de problemas,No Apto
Patricio,Quiroz,patricio.quiroz58@gmail.com,1165528231,Chubut,5,Universitario,SQL,Resolución de problemas,No Apto
Antonio,Pérez,antonio.pérez28@gmail.com,1142608776,Chaco,7,Universitario,SQL,Liderazgo,No Apto
Benjamin,Fernández,benjamin.fernández99@gmail.com,1183967928,San Juan,4,Universitario,SQL,Empatía,No Apto
Damián,Cabrera,damián.cabrera43@gmail.com,1167271745,Río Negro,4,Universitario,SQL,Adaptabilidad,No Apto
Adrián,Escobar,adrián.escobar38@gmail.com,1148452016,Tucumán,4,Universitario,SQL,Liderazgo,No Apto
Mauricio,Peña,mauricio.peña74@gmail.com,1121746603,Catamarca,14,Secundario,Python,Resolución de problemas,Apto
Adrián,Vega,adrián.vega21@gmail.com,1152579349,Chubut,10,Universitario,C++,Comunicación efectiva,Apto
Darío,Barrios,darío.barrios83@gmail.com,1147542746,Catamarca,7,Universitario,Python,Empatía,Apto
Darío,Rodríguez,darío.rodríguez44@gmail.com,1111029684,Río Negro,14,Secundario,Python,Adaptabilidad,Apto
Luis,López,luis.lópez74@gmail.com,1151517123,Santa Cruz,0,Universitario,Python,Resolución de problemas,No Apto
Leonardo,Martínez,leonardo.martínez53@gmail.com,1145897006,Buenos Aires,5,Postgrado,Java,Empatía,No Apto
Adrián,Martínez,adrián.martínez96@gmail.com,1149070950,Corrientes,10,Postgrado,C++,Trabajo en equipo,Apto
Mauricio,Cruz,mauricio.cruz27@gmail.com,1160911972,Río Negro,13,Universitario,SQL,Comunicación efectiva,Apto
Victor,Sánchez,victor.sánchez18@gmail.com,1133415275,Misiones,10,Universitario,C++,Comunicación efectiva,Apto
Leonardo,Vega,leonardo.vega13@gmail.com,1175191767,Catamarca,2,Postgrado,C++,Comunicación efectiva,No Apto
Jorge,Silva,jorge.silva13@gmail.com,1181507684,Chaco,2,Postgrado,C++,Adaptabilidad,No Apto
Enzo,Álvarez,enzo.álvarez88@gmail.com,1177062913,Salta,10,Postgrado,C++,Liderazgo,Apto
Victor,Ortiz,victor.ortiz55@gmail.com,1177184265,Jujuy,7,Secundario,SQL,Liderazgo,No Apto
Esteban,Cruz,esteban.cruz82@gmail.com,1194782677,Entre Ríos,6,Postgrado,Python,Comunicación efectiva,Apto
Gerardo,Acosta,gerardo.acosta62@gmail.com,1136503874,Santiago del Estero,7,Postgrado,C++,Trabajo en equipo,No Apto
Jorge,Morales,jorge.morales89@gmail.com,1175937114,Río Negro,9,Postgrado,Python,Liderazgo,Apto
Jorge,Álvarez,jorge.álvarez36@gmail.com,1133279807,Santa Fe,14,Secundario,SQL,Adaptabilidad,Apto
Alejandro,Silva,alejandro.silva15@gmail.com,1123053550,Córdoba,7,Secundario,SQL,Resolución de problemas,No Apto
Federico,Sánchez,federico.sánchez61@gmail.com,1189566756,Tucumán,4,Universitario,Python,Trabajo en equipo,Apto
Jorge,Cruz,jorge.cruz33@gmail.com,1124478055,San Luis,3,Secundario,C++,Adaptabilidad,No Apto
Jorge,Acosta,jorge.acosta72@gmail.com,1133005380,Río Negro,10,Universitario,C++,Resolución de problemas,Apto
Antonio,Montoya,antonio.montoya89@gmail.com,1111987340,Santa Cruz,11,Universitario,Python,Adaptabilidad,Apto
Gabriel,Acosta,gabriel.acosta95@gmail.com,1154309283,Santa Fe,2,Postgrado,C++,Adaptabilidad,No Apto
Federico,Montoya,federico.montoya14@gmail.com,1106301744,San Luis,12,Secundario,C++,Empatía,Apto
Mauricio,Escobar,mauricio.escobar51@gmail.com,1103731389,Formosa,13,Universitario,Java,Trabajo en equipo,Apto
Bruno,Sánchez,bruno.sánchez85@gmail.com,1182034606,Misiones,13,Universitario,C++,Liderazgo,Apto
Hernán,Reyes,hernán.reyes33@gmail.com,1102484339,La Rioja,12,Secundario,C++,Resolución de problemas,Apto
Darío,Pérez,darío.pérez63@gmail.com,1107634439,Córdoba,6,Postgrado,Python,Comunicación efectiva,Apto
Adrián,Cruz,adrián.cruz88@gmail.com,1155870538,Santa Fe,9,Secundario,SQL,Resolución de problemas,Apto
